,target,target_loc,ligand,ligand_loc,Exp. dG,Pred. dG,Pred. Error
pfkfb3_29,pfkfb3,../data/pfkfb3/6hvi_prepared.pdb,29,../data/pfkfb3/pfkfb3_ligand_29.pdb,-9.65,-10.12,0.11
pfkfb3_54,pfkfb3,../data/pfkfb3/6hvi_prepared.pdb,54,../data/pfkfb3/pfkfb3_ligand_54.pdb,-8.18,-8.1,0.11
pfkfb3_47,pfkfb3,../data/pfkfb3/6hvi_prepared.pdb,47,../data/pfkfb3/pfkfb3_ligand_47.pdb,-8.33,-6.3,0.1
pfkfb3_26,pfkfb3,../data/pfkfb3/6hvi_prepared.pdb,26,../data/pfkfb3/pfkfb3_ligand_26.pdb,-9.17,-9.37,0.11
pfkfb3_55,pfkfb3,../data/pfkfb3/6hvi_prepared.pdb,55,../data/pfkfb3/pfkfb3_ligand_55.pdb,-10.64,-11.98,0.12
pfkfb3_20,pfkfb3,../data/pfkfb3/6hvi_prepared.pdb,20,../data/pfkfb3/pfkfb3_ligand_20.pdb,-8.52,-7.26,0.09
pfkfb3_57,pfkfb3,../data/pfkfb3/6hvi_prepared.pdb,57,../data/pfkfb3/pfkfb3_ligand_57.pdb,-10.47,-11.1,0.1
pfkfb3_42,pfkfb3,../data/pfkfb3/6hvi_prepared.pdb,42,../data/pfkfb3/pfkfb3_ligand_42.pdb,-8.47,-8.05,0.1
pfkfb3_35,pfkfb3,../data/pfkfb3/6hvi_prepared.pdb,35,../data/pfkfb3/pfkfb3_ligand_35.pdb,-10.14,-10.54,0.1
pfkfb3_44,pfkfb3,../data/pfkfb3/6hvi_prepared.pdb,44,../data/pfkfb3/pfkfb3_ligand_44.pdb,-9.95,-8.52,0.1
pfkfb3_63,pfkfb3,../data/pfkfb3/6hvi_prepared.pdb,63,../data/pfkfb3/pfkfb3_ligand_63.pdb,-8.56,-8.1,0.1
pfkfb3_69,pfkfb3,../data/pfkfb3/6hvi_prepared.pdb,69,../data/pfkfb3/pfkfb3_ligand_69.pdb,-10.71,-11.46,0.1
pfkfb3_52,pfkfb3,../data/pfkfb3/6hvi_prepared.pdb,52,../data/pfkfb3/pfkfb3_ligand_52.pdb,-10.4,-9.24,0.1
pfkfb3_19,pfkfb3,../data/pfkfb3/6hvi_prepared.pdb,19,../data/pfkfb3/pfkfb3_ligand_19.pdb,-7.55,-8.58,0.1
pfkfb3_68,pfkfb3,../data/pfkfb3/6hvi_prepared.pdb,68,../data/pfkfb3/pfkfb3_ligand_68.pdb,-9.78,-11.32,0.1
pfkfb3_33,pfkfb3,../data/pfkfb3/6hvi_prepared.pdb,33,../data/pfkfb3/pfkfb3_ligand_33.pdb,-8.61,-10.09,0.11
pfkfb3_70,pfkfb3,../data/pfkfb3/6hvi_prepared.pdb,70,../data/pfkfb3/pfkfb3_ligand_70.pdb,-10.3,-10.73,0.1
pfkfb3_53,pfkfb3,../data/pfkfb3/6hvi_prepared.pdb,53,../data/pfkfb3/pfkfb3_ligand_53.pdb,-7.0,-8.04,0.1
pfkfb3_64,pfkfb3,../data/pfkfb3/6hvi_prepared.pdb,64,../data/pfkfb3/pfkfb3_ligand_64.pdb,-9.42,-9.29,0.09
pfkfb3_39,pfkfb3,../data/pfkfb3/6hvi_prepared.pdb,39,../data/pfkfb3/pfkfb3_ligand_39.pdb,-7.2,-5.77,0.1
pfkfb3_37,pfkfb3,../data/pfkfb3/6hvi_prepared.pdb,37,../data/pfkfb3/pfkfb3_ligand_37.pdb,-10.0,-12.26,0.1
pfkfb3_23,pfkfb3,../data/pfkfb3/6hvi_prepared.pdb,23,../data/pfkfb3/pfkfb3_ligand_23.pdb,-7.91,-8.77,0.12
pfkfb3_60,pfkfb3,../data/pfkfb3/6hvi_prepared.pdb,60,../data/pfkfb3/pfkfb3_ligand_60.pdb,-8.14,-7.37,0.11
pfkfb3_34,pfkfb3,../data/pfkfb3/6hvi_prepared.pdb,34,../data/pfkfb3/pfkfb3_ligand_34.pdb,-9.97,-10.37,0.11
pfkfb3_36,pfkfb3,../data/pfkfb3/6hvi_prepared.pdb,36,../data/pfkfb3/pfkfb3_ligand_36.pdb,-7.44,-7.98,0.11
pfkfb3_46,pfkfb3,../data/pfkfb3/6hvi_prepared.pdb,46,../data/pfkfb3/pfkfb3_ligand_46.pdb,-7.86,-6.35,0.1
cdk8_43,cdk8,../data/cdk8/5hnb-chainA-prepared.pdb,43,../data/cdk8/cdk8_ligand_43.pdb,-11.87,-11.24,0.15
cdk8_17,cdk8,../data/cdk8/5hnb-chainA-prepared.pdb,17,../data/cdk8/cdk8_ligand_17.pdb,-8.94,-7.76,0.15
cdk8_28,cdk8,../data/cdk8/5hnb-chainA-prepared.pdb,28,../data/cdk8/cdk8_ligand_28.pdb,-6.17,-9.08,0.16
cdk8_22,cdk8,../data/cdk8/5hnb-chainA-prepared.pdb,22,../data/cdk8/cdk8_ligand_22.pdb,-10.22,-10.08,0.21
cdk8_16,cdk8,../data/cdk8/5hnb-chainA-prepared.pdb,16,../data/cdk8/cdk8_ligand_16.pdb,-9.24,-8.46,0.15
cdk8_30,cdk8,../data/cdk8/5hnb-chainA-prepared.pdb,30,../data/cdk8/cdk8_ligand_30.pdb,-11.63,-11.66,0.15
cdk8_21,cdk8,../data/cdk8/5hnb-chainA-prepared.pdb,21,../data/cdk8/cdk8_ligand_21.pdb,-9.7,-9.64,0.2
cdk8_24,cdk8,../data/cdk8/5hnb-chainA-prepared.pdb,24,../data/cdk8/cdk8_ligand_24.pdb,-10.28,-7.84,0.18
cdk8_38,cdk8,../data/cdk8/5hnb-chainA-prepared.pdb,38,../data/cdk8/cdk8_ligand_38.pdb,-11.32,-11.67,0.18
cdk8_31,cdk8,../data/cdk8/5hnb-chainA-prepared.pdb,31,../data/cdk8/cdk8_ligand_31.pdb,-11.87,-11.95,0.15
cdk8_41,cdk8,../data/cdk8/5hnb-chainA-prepared.pdb,41,../data/cdk8/cdk8_ligand_41.pdb,-11.22,-12.53,0.21
cdk8_29,cdk8,../data/cdk8/5hnb-chainA-prepared.pdb,29,../data/cdk8/cdk8_ligand_29.pdb,-9.2,-11.69,0.19
cdk8_26,cdk8,../data/cdk8/5hnb-chainA-prepared.pdb,26,../data/cdk8/cdk8_ligand_26.pdb,-10.16,-8.91,0.26
cdk8_20,cdk8,../data/cdk8/5hnb-chainA-prepared.pdb,20,../data/cdk8/cdk8_ligand_20.pdb,-10.64,-9.71,0.15
cdk8_42,cdk8,../data/cdk8/5hnb-chainA-prepared.pdb,42,../data/cdk8/cdk8_ligand_42.pdb,-11.46,-10.91,0.16
cdk8_35,cdk8,../data/cdk8/5hnb-chainA-prepared.pdb,35,../data/cdk8/cdk8_ligand_35.pdb,-11.46,-11.37,0.14
cdk8_44,cdk8,../data/cdk8/5hnb-chainA-prepared.pdb,44,../data/cdk8/cdk8_ligand_44.pdb,-11.46,-11.35,0.17
cdk8_18,cdk8,../data/cdk8/5hnb-chainA-prepared.pdb,18,../data/cdk8/cdk8_ligand_18.pdb,-10.91,-8.74,0.14
cdk8_40,cdk8,../data/cdk8/5hnb-chainA-prepared.pdb,40,../data/cdk8/cdk8_ligand_40.pdb,-11.13,-11.59,0.2
cdk8_19,cdk8,../data/cdk8/5hnb-chainA-prepared.pdb,19,../data/cdk8/cdk8_ligand_19.pdb,-10.67,-9.34,0.18
cdk8_33,cdk8,../data/cdk8/5hnb-chainA-prepared.pdb,33,../data/cdk8/cdk8_ligand_33.pdb,-11.05,-9.92,0.16
cdk8_27,cdk8,../data/cdk8/5hnb-chainA-prepared.pdb,27,../data/cdk8/cdk8_ligand_27.pdb,-8.41,-11.43,0.16
cdk8_13,cdk8,../data/cdk8/5hnb-chainA-prepared.pdb,13,../data/cdk8/cdk8_ligand_13.pdb,-11.22,-10.82,0.15
cdk8_39,cdk8,../data/cdk8/5hnb-chainA-prepared.pdb,39,../data/cdk8/cdk8_ligand_39.pdb,-11.46,-11.89,0.19
cdk8_32,cdk8,../data/cdk8/5hnb-chainA-prepared.pdb,32,../data/cdk8/cdk8_ligand_32.pdb,-9.49,-9.69,0.18
cdk8_37,cdk8,../data/cdk8/5hnb-chainA-prepared.pdb,37,../data/cdk8/cdk8_ligand_37.pdb,-11.46,-12.51,0.15
cdk8_23,cdk8,../data/cdk8/5hnb-chainA-prepared.pdb,23,../data/cdk8/cdk8_ligand_23.pdb,-8.96,-9.13,0.17
cdk8_15,cdk8,../data/cdk8/5hnb-chainA-prepared.pdb,15,../data/cdk8/cdk8_ligand_15.pdb,-7.64,-7.17,0.15
cdk8_34,cdk8,../data/cdk8/5hnb-chainA-prepared.pdb,34,../data/cdk8/cdk8_ligand_34.pdb,-11.13,-11.5,0.18
cdk8_25,cdk8,../data/cdk8/5hnb-chainA-prepared.pdb,25,../data/cdk8/cdk8_ligand_25.pdb,-9.74,-11.04,0.15
cdk8_14,cdk8,../data/cdk8/5hnb-chainA-prepared.pdb,14,../data/cdk8/cdk8_ligand_14.pdb,-8.29,-7.6,0.15
cdk8_45,cdk8,../data/cdk8/5hnb-chainA-prepared.pdb,45,../data/cdk8/cdk8_ligand_45.pdb,-11.13,-10.77,0.15
cdk8_36,cdk8,../data/cdk8/5hnb-chainA-prepared.pdb,36,../data/cdk8/cdk8_ligand_36.pdb,-11.22,-11.72,0.15
shp2_SHP099-1_Example_7,shp2,../data/shp2/5ehr_prepared.pdb,SHP099-1_Example_7,../data/shp2/shp2_ligand_SHP099-1_Example_7.pdb,-9.75,-9.27,0.27
shp2_Example_22,shp2,../data/shp2/5ehr_prepared.pdb,Example_22,../data/shp2/shp2_ligand_Example_22.pdb,-9.24,-8.79,0.32
shp2_Example_29,shp2,../data/shp2/5ehr_prepared.pdb,Example_29,../data/shp2/shp2_ligand_Example_29.pdb,-7.62,-6.85,0.32
shp2_11,shp2,../data/shp2/5ehr_prepared.pdb,11,../data/shp2/shp2_ligand_11.pdb,-6.35,-6.49,0.31
shp2_4,shp2,../data/shp2/5ehr_prepared.pdb,4,../data/shp2/shp2_ligand_4.pdb,-5.82,-5.94,0.34
shp2_Example_2,shp2,../data/shp2/5ehr_prepared.pdb,Example_2,../data/shp2/shp2_ligand_Example_2.pdb,-8.28,-7.93,0.29
shp2_Example_14,shp2,../data/shp2/5ehr_prepared.pdb,Example_14,../data/shp2/shp2_ligand_Example_14.pdb,-9.78,-9.38,0.31
shp2_Example_26,shp2,../data/shp2/5ehr_prepared.pdb,Example_26,../data/shp2/shp2_ligand_Example_26.pdb,-8.96,-9.0,0.33
shp2_SHP836-2,shp2,../data/shp2/5ehr_prepared.pdb,SHP836-2,../data/shp2/shp2_ligand_SHP836-2.pdb,-6.71,-7.74,0.36
shp2_Example_6,shp2,../data/shp2/5ehr_prepared.pdb,Example_6,../data/shp2/shp2_ligand_Example_6.pdb,-9.07,-10.86,0.27
shp2_Example_1,shp2,../data/shp2/5ehr_prepared.pdb,Example_1,../data/shp2/shp2_ligand_Example_1.pdb,-8.99,-9.13,0.28
shp2_3,shp2,../data/shp2/5ehr_prepared.pdb,3,../data/shp2/shp2_ligand_3.pdb,-5.46,-6.55,0.3
shp2_Example_9,shp2,../data/shp2/5ehr_prepared.pdb,Example_9,../data/shp2/shp2_ligand_Example_9.pdb,-8.79,-9.73,0.3
shp2_Example_8,shp2,../data/shp2/5ehr_prepared.pdb,Example_8,../data/shp2/shp2_ligand_Example_8.pdb,-9.71,-9.85,0.27
shp2_7,shp2,../data/shp2/5ehr_prepared.pdb,7,../data/shp2/shp2_ligand_7.pdb,-7.08,-8.92,0.33
shp2_Example_24,shp2,../data/shp2/5ehr_prepared.pdb,Example_24,../data/shp2/shp2_ligand_Example_24.pdb,-9.08,-8.14,0.28
shp2_Example_28,shp2,../data/shp2/5ehr_prepared.pdb,Example_28,../data/shp2/shp2_ligand_Example_28.pdb,-8.46,-8.07,0.31
shp2_10,shp2,../data/shp2/5ehr_prepared.pdb,10,../data/shp2/shp2_ligand_10.pdb,-7.15,-7.32,0.32
shp2_Example_25,shp2,../data/shp2/5ehr_prepared.pdb,Example_25,../data/shp2/shp2_ligand_Example_25.pdb,-8.87,-7.67,0.28
shp2_Example_27,shp2,../data/shp2/5ehr_prepared.pdb,Example_27,../data/shp2/shp2_ligand_Example_27.pdb,-8.52,-8.65,0.32
shp2_6,shp2,../data/shp2/5ehr_prepared.pdb,6,../data/shp2/shp2_ligand_6.pdb,-8.03,-9.32,0.29
shp2_Example_30,shp2,../data/shp2/5ehr_prepared.pdb,Example_30,../data/shp2/shp2_ligand_Example_30.pdb,-9.16,-8.87,0.27
shp2_Example_5,shp2,../data/shp2/5ehr_prepared.pdb,Example_5,../data/shp2/shp2_ligand_Example_5.pdb,-7.56,-6.15,0.33
shp2_Example_4,shp2,../data/shp2/5ehr_prepared.pdb,Example_4,../data/shp2/shp2_ligand_Example_4.pdb,-8.2,-7.03,0.28
shp2_Example_23,shp2,../data/shp2/5ehr_prepared.pdb,Example_23,../data/shp2/shp2_ligand_Example_23.pdb,-8.74,-8.29,0.3
shp2_Example_3,shp2,../data/shp2/5ehr_prepared.pdb,Example_3,../data/shp2/shp2_ligand_Example_3.pdb,-8.22,-7.68,0.28
hif2a_338,hif2a,../data/hif2a/5tbm_prepared.pdb,338,../data/hif2a/hif2a_ligand_338.pdb,-10.76,-9.28,0.27
hif2a_43,hif2a,../data/hif2a/5tbm_prepared.pdb,43,../data/hif2a/hif2a_ligand_43.pdb,-8.7,-8.95,0.23
hif2a_235,hif2a,../data/hif2a/5tbm_prepared.pdb,235,../data/hif2a/hif2a_ligand_235.pdb,-10.12,-9.42,0.22
hif2a_234,hif2a,../data/hif2a/5tbm_prepared.pdb,234,../data/hif2a/hif2a_ligand_234.pdb,-10.35,-10.56,0.21
hif2a_30,hif2a,../data/hif2a/5tbm_prepared.pdb,30,../data/hif2a/hif2a_ligand_30.pdb,-10.57,-10.91,0.21
hif2a_1,hif2a,../data/hif2a/5tbm_prepared.pdb,1,../data/hif2a/hif2a_ligand_1.pdb,-11.32,-10.08,0.22
hif2a_237,hif2a,../data/hif2a/5tbm_prepared.pdb,237,../data/hif2a/hif2a_ligand_237.pdb,-9.55,-9.67,0.25
hif2a_227,hif2a,../data/hif2a/5tbm_prepared.pdb,227,../data/hif2a/hif2a_ligand_227.pdb,-10.76,-11.78,0.27
hif2a_266,hif2a,../data/hif2a/5tbm_prepared.pdb,266,../data/hif2a/hif2a_ligand_266.pdb,-10.53,-9.94,0.24
hif2a_206,hif2a,../data/hif2a/5tbm_prepared.pdb,206,../data/hif2a/hif2a_ligand_206.pdb,-10.12,-8.72,0.2
hif2a_67,hif2a,../data/hif2a/5tbm_prepared.pdb,67,../data/hif2a/hif2a_ligand_67.pdb,-10.17,-11.2,0.23
hif2a_156,hif2a,../data/hif2a/5tbm_prepared.pdb,156,../data/hif2a/hif2a_ligand_156.pdb,-9.74,-9.35,0.22
hif2a_31,hif2a,../data/hif2a/5tbm_prepared.pdb,31,../data/hif2a/hif2a_ligand_31.pdb,-8.84,-9.42,0.22
hif2a_289,hif2a,../data/hif2a/5tbm_prepared.pdb,289,../data/hif2a/hif2a_ligand_289.pdb,-10.91,-11.65,0.21
hif2a_61,hif2a,../data/hif2a/5tbm_prepared.pdb,61,../data/hif2a/hif2a_ligand_61.pdb,-10.11,-9.47,0.26
hif2a_167,hif2a,../data/hif2a/5tbm_prepared.pdb,167,../data/hif2a/hif2a_ligand_167.pdb,-10.67,-10.9,0.24
hif2a_165,hif2a,../data/hif2a/5tbm_prepared.pdb,165,../data/hif2a/hif2a_ligand_165.pdb,-9.24,-9.04,0.23
hif2a_41,hif2a,../data/hif2a/5tbm_prepared.pdb,41,../data/hif2a/hif2a_ligand_41.pdb,-9.79,-10.76,0.45
hif2a_7b,hif2a,../data/hif2a/5tbm_prepared.pdb,7b,../data/hif2a/hif2a_ligand_7b.pdb,-7.39,-6.51,0.42
hif2a_54,hif2a,../data/hif2a/5tbm_prepared.pdb,54,../data/hif2a/hif2a_ligand_54.pdb,-9.31,-8.31,0.22
hif2a_215,hif2a,../data/hif2a/5tbm_prepared.pdb,215,../data/hif2a/hif2a_ligand_215.pdb,-10.6,-10.04,0.25
hif2a_57,hif2a,../data/hif2a/5tbm_prepared.pdb,57,../data/hif2a/hif2a_ligand_57.pdb,-10.67,-10.88,0.2
hif2a_42,hif2a,../data/hif2a/5tbm_prepared.pdb,42,../data/hif2a/hif2a_ligand_42.pdb,-8.94,-9.77,0.21
hif2a_35,hif2a,../data/hif2a/5tbm_prepared.pdb,35,../data/hif2a/hif2a_ligand_35.pdb,-7.15,-11.51,0.21
hif2a_252,hif2a,../data/hif2a/5tbm_prepared.pdb,252,../data/hif2a/hif2a_ligand_252.pdb,-9.71,-9.57,0.28
hif2a_336,hif2a,../data/hif2a/5tbm_prepared.pdb,336,../data/hif2a/hif2a_ligand_336.pdb,-9.82,-9.88,0.28
hif2a_290,hif2a,../data/hif2a/5tbm_prepared.pdb,290,../data/hif2a/hif2a_ligand_290.pdb,-10.57,-11.2,0.21
hif2a_155,hif2a,../data/hif2a/5tbm_prepared.pdb,155,../data/hif2a/hif2a_ligand_155.pdb,-10.5,-10.0,0.24
hif2a_164,hif2a,../data/hif2a/5tbm_prepared.pdb,164,../data/hif2a/hif2a_ligand_164.pdb,-6.76,-6.88,0.22
hif2a_7a,hif2a,../data/hif2a/5tbm_prepared.pdb,7a,../data/hif2a/hif2a_ligand_7a.pdb,-10.0,-8.58,0.21
hif2a_224,hif2a,../data/hif2a/5tbm_prepared.pdb,224,../data/hif2a/hif2a_ligand_224.pdb,-9.66,-10.72,0.21
hif2a_84,hif2a,../data/hif2a/5tbm_prepared.pdb,84,../data/hif2a/hif2a_ligand_84.pdb,-7.58,-8.81,0.22
hif2a_254,hif2a,../data/hif2a/5tbm_prepared.pdb,254,../data/hif2a/hif2a_ligand_254.pdb,-9.55,-10.23,0.24
hif2a_23,hif2a,../data/hif2a/5tbm_prepared.pdb,23,../data/hif2a/hif2a_ligand_23.pdb,-7.07,-8.0,0.2
hif2a_251,hif2a,../data/hif2a/5tbm_prepared.pdb,251,../data/hif2a/hif2a_ligand_251.pdb,-10.24,-9.61,0.22
hif2a_256,hif2a,../data/hif2a/5tbm_prepared.pdb,256,../data/hif2a/hif2a_ligand_256.pdb,-10.67,-9.16,0.21
hif2a_50,hif2a,../data/hif2a/5tbm_prepared.pdb,50,../data/hif2a/hif2a_ligand_50.pdb,-9.7,-8.86,0.24
hif2a_231,hif2a,../data/hif2a/5tbm_prepared.pdb,231,../data/hif2a/hif2a_ligand_231.pdb,-10.02,-10.63,0.21
hif2a_15,hif2a,../data/hif2a/5tbm_prepared.pdb,15,../data/hif2a/hif2a_ligand_15.pdb,-11.05,-11.29,0.23
hif2a_124,hif2a,../data/hif2a/5tbm_prepared.pdb,124,../data/hif2a/hif2a_ligand_124.pdb,-10.12,-9.93,0.25
hif2a_25,hif2a,../data/hif2a/5tbm_prepared.pdb,25,../data/hif2a/hif2a_ligand_25.pdb,-10.28,-9.18,0.22
hif2a_163,hif2a,../data/hif2a/5tbm_prepared.pdb,163,../data/hif2a/hif2a_ligand_163.pdb,-11.01,-10.0,0.25
syk_CHEMBL3264999,syk,../data/syk/4pv0-prepared.pdb,CHEMBL3264999,../data/syk/syk_ligand_CHEMBL3264999.pdb,-11.42,-11.59,0.16
syk_CHEMBL3265014,syk,../data/syk/4pv0-prepared.pdb,CHEMBL3265014,../data/syk/syk_ligand_CHEMBL3265014.pdb,-10.4,-9.96,0.13
syk_CHEMBL3265034,syk,../data/syk/4pv0-prepared.pdb,CHEMBL3265034,../data/syk/syk_ligand_CHEMBL3265034.pdb,-11.49,-11.09,0.14
syk_CHEMBL3265015,syk,../data/syk/4pv0-prepared.pdb,CHEMBL3265015,../data/syk/syk_ligand_CHEMBL3265015.pdb,-9.48,-7.57,0.14
syk_CHEMBL3265036,syk,../data/syk/4pv0-prepared.pdb,CHEMBL3265036,../data/syk/syk_ligand_CHEMBL3265036.pdb,-10.42,-11.51,0.14
syk_CHEMBL3265020,syk,../data/syk/4pv0-prepared.pdb,CHEMBL3265020,../data/syk/syk_ligand_CHEMBL3265020.pdb,-11.01,-9.98,0.14
syk_CHEMBL3265023,syk,../data/syk/4pv0-prepared.pdb,CHEMBL3265023,../data/syk/syk_ligand_CHEMBL3265023.pdb,-10.48,-10.5,0.14
syk_CHEMBL3265002,syk,../data/syk/4pv0-prepared.pdb,CHEMBL3265002,../data/syk/syk_ligand_CHEMBL3265002.pdb,-10.61,-12.79,0.17
syk_CHEMBL3265033,syk,../data/syk/4pv0-prepared.pdb,CHEMBL3265033,../data/syk/syk_ligand_CHEMBL3265033.pdb,-11.84,-11.17,0.13
syk_CHEMBL3265027,syk,../data/syk/4pv0-prepared.pdb,CHEMBL3265027,../data/syk/syk_ligand_CHEMBL3265027.pdb,-10.33,-10.04,0.14
syk_CHEMBL3265028,syk,../data/syk/4pv0-prepared.pdb,CHEMBL3265028,../data/syk/syk_ligand_CHEMBL3265028.pdb,-11.01,-10.49,0.13
syk_CHEMBL3264997,syk,../data/syk/4pv0-prepared.pdb,CHEMBL3264997,../data/syk/syk_ligand_CHEMBL3264997.pdb,-10.98,-11.31,0.19
syk_CHEMBL3264996,syk,../data/syk/4pv0-prepared.pdb,CHEMBL3264996,../data/syk/syk_ligand_CHEMBL3264996.pdb,-10.67,-12.06,0.17
syk_CHEMBL3264994,syk,../data/syk/4pv0-prepared.pdb,CHEMBL3264994,../data/syk/syk_ligand_CHEMBL3264994.pdb,-9.81,-11.33,0.2
syk_CHEMBL3264995,syk,../data/syk/4pv0-prepared.pdb,CHEMBL3264995,../data/syk/syk_ligand_CHEMBL3264995.pdb,-12.39,-12.21,0.18
syk_CHEMBL3265032,syk,../data/syk/4pv0-prepared.pdb,CHEMBL3265032,../data/syk/syk_ligand_CHEMBL3265032.pdb,-11.06,-10.83,0.13
syk_CHEMBL3265031,syk,../data/syk/4pv0-prepared.pdb,CHEMBL3265031,../data/syk/syk_ligand_CHEMBL3265031.pdb,-12.07,-11.53,0.13
syk_CHEMBL3265037,syk,../data/syk/4pv0-prepared.pdb,CHEMBL3265037,../data/syk/syk_ligand_CHEMBL3265037.pdb,-12.77,-11.17,0.13
syk_CHEMBL3265026,syk,../data/syk/4pv0-prepared.pdb,CHEMBL3265026,../data/syk/syk_ligand_CHEMBL3265026.pdb,-11.36,-9.49,0.14
syk_CHEMBL3265012,syk,../data/syk/4pv0-prepared.pdb,CHEMBL3265012,../data/syk/syk_ligand_CHEMBL3265012.pdb,-10.55,-11.05,0.19
syk_CHEMBL3265003,syk,../data/syk/4pv0-prepared.pdb,CHEMBL3265003,../data/syk/syk_ligand_CHEMBL3265003.pdb,-10.82,-13.39,0.15
syk_CHEMBL3264998,syk,../data/syk/4pv0-prepared.pdb,CHEMBL3264998,../data/syk/syk_ligand_CHEMBL3264998.pdb,-11.72,-13.18,0.18
syk_CHEMBL3265029,syk,../data/syk/4pv0-prepared.pdb,CHEMBL3265029,../data/syk/syk_ligand_CHEMBL3265029.pdb,-11.12,-10.63,0.14
syk_CHEMBL3265035,syk,../data/syk/4pv0-prepared.pdb,CHEMBL3265035,../data/syk/syk_ligand_CHEMBL3265035.pdb,-11.08,-11.41,0.15
syk_CHEMBL3265024,syk,../data/syk/4pv0-prepared.pdb,CHEMBL3265024,../data/syk/syk_ligand_CHEMBL3265024.pdb,-11.79,-9.62,0.14
syk_CHEMBL3265018,syk,../data/syk/4pv0-prepared.pdb,CHEMBL3265018,../data/syk/syk_ligand_CHEMBL3265018.pdb,-11.19,-10.93,0.16
syk_CHEMBL3265008,syk,../data/syk/4pv0-prepared.pdb,CHEMBL3265008,../data/syk/syk_ligand_CHEMBL3265008.pdb,-9.78,-10.6,0.13
syk_CHEMBL3265016,syk,../data/syk/4pv0-prepared.pdb,CHEMBL3265016,../data/syk/syk_ligand_CHEMBL3265016.pdb,-11.69,-9.59,0.14
syk_CHEMBL3265025,syk,../data/syk/4pv0-prepared.pdb,CHEMBL3265025,../data/syk/syk_ligand_CHEMBL3265025.pdb,-10.2,-10.36,0.13
syk_CHEMBL3265013,syk,../data/syk/4pv0-prepared.pdb,CHEMBL3265013,../data/syk/syk_ligand_CHEMBL3265013.pdb,-9.81,-10.35,0.15
syk_CHEMBL3259820,syk,../data/syk/4pv0-prepared.pdb,CHEMBL3259820,../data/syk/syk_ligand_CHEMBL3259820.pdb,-10.57,-10.32,0.16
syk_CHEMBL3265001,syk,../data/syk/4pv0-prepared.pdb,CHEMBL3265001,../data/syk/syk_ligand_CHEMBL3265001.pdb,-12.03,-12.81,0.18
syk_CHEMBL3265006,syk,../data/syk/4pv0-prepared.pdb,CHEMBL3265006,../data/syk/syk_ligand_CHEMBL3265006.pdb,-9.96,-10.06,0.13
syk_CHEMBL3265030_n,syk,../data/syk/4pv0-prepared.pdb,CHEMBL3265030_n,../data/syk/syk_ligand_CHEMBL3265030_n.pdb,-11.47,-11.28,0.13
syk_CHEMBL3265022,syk,../data/syk/4pv0-prepared.pdb,CHEMBL3265022,../data/syk/syk_ligand_CHEMBL3265022.pdb,-10.79,-10.29,0.13
syk_CHEMBL3265019,syk,../data/syk/4pv0-prepared.pdb,CHEMBL3265019,../data/syk/syk_ligand_CHEMBL3265019.pdb,-10.78,-11.54,0.17
