system,Ligand1,Ligand2,Exp.,FEP,FEP Error,CCC,CCC Error
shp2,SHP836-2,Example_27,-1.81,-1.41,0.08,-1.12,0.96
shp2,Example_6,Example_8,-0.64,0.07,0.17,-0.14,0.71
shp2,Example_6,6,1.04,0.38,0.17,0.63,0.71
shp2,Example_1,Example_24,-0.09,1.14,0.19,1.02,0.78
shp2,Example_1,6,0.96,0.15,0.11,-0.09,0.71
shp2,Example_1,7,1.91,-0.46,0.46,0.12,0.99
shp2,Example_1,Example_4,0.79,1.25,0.12,1.64,0.88
shp2,Example_1,Example_3,0.77,1.42,0.11,1.41,0.62
shp2,3,Example_9,-3.33,-2.84,0.22,-2.83,0.27
shp2,3,Example_3,-2.75,-0.68,0.16,-0.69,0.27
shp2,Example_9,Example_30,-0.36,0.55,0.18,0.56,0.27
shp2,Example_8,Example_4,1.51,2.99,0.23,2.5,0.96
shp2,Example_24,Example_28,0.62,-0.98,0.21,-0.74,0.47
shp2,Example_24,Example_23,0.34,-0.6,0.13,-0.81,0.78
shp2,Example_28,6,0.43,-0.38,0.15,-0.37,0.64
shp2,10,Example_30,-2.0,-1.79,0.13,-1.76,0.13
shp2,Example_25,Example_3,0.65,0.08,0.17,0.14,0.53
shp2,Example_27,Example_4,0.32,1.72,0.15,2.0,0.96
shp2,Example_4,Example_3,-0.01,-0.2,0.09,-0.23,0.62
hif2a,338,165,1.52,-0.44,0.25,0.07,0.76
hif2a,338,215,0.16,-0.76,0.13,-1.11,0.76
hif2a,338,163,-0.25,-1.02,0.1,-1.18,0.57
hif2a,43,235,-1.42,-0.2,0.1,-0.49,0.81
hif2a,43,54,-0.61,0.9,0.08,0.83,0.77
hif2a,43,215,-1.9,-1.64,0.1,-1.24,1.1
hif2a,43,155,-1.8,-1.0,0.06,-1.08,0.8
hif2a,43,25,-1.58,-0.17,0.08,-0.11,1.1
hif2a,235,1,-1.2,-0.3,0.07,-0.55,0.54
hif2a,235,54,0.81,1.36,0.23,1.32,0.81
hif2a,234,289,-0.57,-1.06,0.04,-1.06,0.04
hif2a,30,42,1.63,1.24,0.09,1.12,0.71
hif2a,30,84,2.99,2.28,0.09,2.3,0.6
hif2a,30,251,0.32,1.31,0.11,1.37,0.71
hif2a,30,25,0.28,1.71,0.1,1.76,0.48
hif2a,1,254,1.77,-0.1,0.07,-0.43,1.98
hif2a,1,256,0.65,0.8,0.07,1.06,0.59
hif2a,1,15,0.28,-1.09,0.08,-1.28,1.98
hif2a,237,227,-1.21,-4.35,0.16,-3.5,2.27
hif2a,237,31,0.71,-1.72,0.28,-1.13,2.12
hif2a,237,41,-0.24,-0.99,0.3,-0.92,1.53
hif2a,237,336,-0.27,1.01,0.2,-1.41,2.56
hif2a,237,290,-1.02,-3.36,0.22,-3.25,1.78
hif2a,237,254,0.0,-2.98,0.18,-2.17,2.56
hif2a,227,167,0.08,0.52,0.05,0.68,1.79
hif2a,227,231,0.74,1.34,0.04,1.7,2.12
hif2a,227,15,-0.29,0.15,0.06,0.48,2.27
hif2a,266,165,1.3,1.14,0.1,1.0,1.71
hif2a,266,84,2.96,1.11,0.13,1.5,0.78
hif2a,266,254,0.98,-0.15,0.11,-0.4,1.71
hif2a,206,57,-0.55,-1.88,0.06,-1.84,0.16
hif2a,206,42,1.18,-1.08,0.07,-1.1,0.76
hif2a,206,23,3.06,0.86,0.09,0.62,0.49
hif2a,206,256,-0.55,-0.55,0.12,-0.33,0.76
hif2a,67,165,0.94,1.54,0.19,2.02,0.76
hif2a,67,256,-0.5,2.59,0.11,2.11,0.76
hif2a,156,167,-0.94,-1.45,0.06,-1.62,1.65
hif2a,156,165,0.5,0.47,0.1,0.43,1.65
hif2a,156,42,0.8,-0.87,0.06,-0.26,0.85
hif2a,156,164,2.97,3.49,0.14,3.09,0.85
hif2a,31,61,-1.27,-0.21,0.09,-0.05,2.12
hif2a,31,7a,-1.15,0.55,0.11,0.97,0.47
hif2a,289,35,3.76,0.68,0.08,0.68,0.08
hif2a,61,251,-0.14,-0.19,0.07,-0.03,2.12
hif2a,167,165,1.44,2.42,0.09,2.05,1.58
hif2a,167,155,0.17,0.95,0.06,1.04,1.79
hif2a,167,50,0.98,2.01,0.13,2.28,1.14
hif2a,165,252,-0.48,-0.07,0.19,-0.41,2.05
hif2a,165,336,-0.59,-1.12,0.25,-0.64,2.05
hif2a,165,163,-1.77,-1.57,0.07,-1.26,0.7
hif2a,41,7b,2.39,4.62,0.17,4.69,1.53
hif2a,7b,231,-2.63,-5.64,0.14,-5.57,1.53
hif2a,54,251,-0.93,-1.27,0.25,-1.32,0.8
hif2a,54,124,-0.81,-0.77,0.14,-0.83,0.81
hif2a,215,252,0.89,0.18,0.16,0.77,2.09
hif2a,215,15,-0.45,-0.69,0.05,-1.08,2.09
hif2a,215,163,-0.41,0.07,0.06,-0.08,0.7
hif2a,57,231,0.65,0.34,0.05,0.38,0.16
hif2a,42,164,2.17,2.88,0.24,3.35,0.85
hif2a,35,7a,-2.84,2.76,0.07,2.76,0.07
hif2a,252,336,-0.11,-0.77,0.04,-0.23,2.12
hif2a,252,155,-0.79,-0.27,0.09,-0.6,1.79
hif2a,252,231,-0.31,-0.05,0.1,-0.63,2.12
hif2a,252,124,-0.41,-0.14,0.16,0.47,1.33
hif2a,336,251,-0.42,1.6,0.21,0.21,2.56
hif2a,290,7a,0.57,3.13,0.16,3.09,0.47
hif2a,290,23,3.5,3.36,0.17,3.51,1.78
hif2a,155,84,2.93,1.84,0.14,1.51,0.68
hif2a,164,124,-3.36,-2.05,0.17,-2.6,1.33
hif2a,164,25,-3.52,-3.32,0.14,-2.71,1.33
hif2a,7a,224,0.34,-1.73,0.18,-1.62,0.38
hif2a,7a,23,2.93,0.15,0.07,0.42,0.46
hif2a,224,231,-0.36,-0.13,0.19,-0.02,0.38
hif2a,84,15,-3.47,-2.83,0.2,-2.75,0.78
hif2a,254,251,-0.69,0.47,0.04,0.97,2.56
hif2a,254,50,-0.15,1.91,0.12,1.64,1.14
hif2a,23,15,-3.98,-3.48,0.09,-3.29,1.78
hif2a,251,15,-0.8,-1.73,0.06,-1.83,2.27
hif2a,251,25,-0.04,1.01,0.1,0.38,2.25
hif2a,15,25,0.76,2.3,0.06,2.21,2.25
syk,CHEMBL3265015,CHEMBL3265011,0.85,1.21,0.17,1.18,0.85
syk,CHEMBL3265015,CHEMBL3265017,-2.01,-3.1,0.14,-2.77,0.92
syk,CHEMBL3265015,CHEMBL3265009,-0.82,-2.96,0.16,-2.99,0.73
syk,CHEMBL3265015,CHEMBL3264999,-1.94,-4.01,0.25,-4.19,0.76
syk,CHEMBL3265015,CHEMBL3265014,-0.91,-2.42,0.14,-2.29,0.59
syk,CHEMBL3265015,CHEMBL3259820,-1.09,-2.49,0.17,-2.71,0.92
syk,CHEMBL3265031,CHEMBL3265024,0.29,2.08,0.2,1.86,0.29
syk,CHEMBL3265031,CHEMBL3265037,-0.7,0.14,0.1,0.26,0.25
syk,CHEMBL3265031,CHEMBL3265030_n,0.6,-0.02,0.17,0.08,0.29
syk,CHEMBL3265021,CHEMBL3265011,2.25,3.98,0.16,3.97,0.64
syk,CHEMBL3265021,CHEMBL3265024,-0.9,1.17,0.11,1.05,0.53
syk,CHEMBL3265021,CHEMBL3265022,0.1,0.57,0.08,0.4,0.54
syk,CHEMBL3265021,CHEMBL3265020,-0.12,0.69,0.03,0.6,0.75
syk,CHEMBL3265021,CHEMBL3265017,-0.6,0.18,0.1,0.02,0.79
syk,CHEMBL3265021,CHEMBL3265035,-0.19,-1.04,0.17,-0.69,0.6
syk,CHEMBL3265021,CHEMBL3265023,0.41,0.04,0.05,-0.18,0.79
syk,CHEMBL3265021,CHEMBL3265013,1.08,-0.25,0.13,0.17,0.65
syk,CHEMBL3264998,CHEMBL3264995,-0.67,-0.09,0.15,0.02,0.18
syk,CHEMBL3264998,CHEMBL3265001,-0.31,-0.2,0.15,-0.31,0.18
syk,CHEMBL3265035,CHEMBL3265024,-0.71,1.3,0.19,1.74,0.77
syk,CHEMBL3265035,CHEMBL3264996,0.41,-0.71,0.23,-0.81,0.77
syk,CHEMBL3265013,CHEMBL3265020,-1.2,0.03,0.12,0.43,1.0
syk,CHEMBL3265013,CHEMBL3265023,-0.67,-0.72,0.11,-0.35,0.9
syk,CHEMBL3265013,CHEMBL3265004,-1.05,-2.3,0.23,-2.62,0.84
syk,CHEMBL3265013,CHEMBL3265012,-0.74,-0.29,0.07,-0.52,1.0
syk,CHEMBL3265013,CHEMBL3259820,-0.76,-0.28,0.07,-0.09,0.92
syk,CHEMBL3265036,CHEMBL3265016,-1.27,1.69,0.15,1.66,0.22
syk,CHEMBL3265036,CHEMBL3265029,-0.7,0.7,0.09,0.73,0.22
syk,CHEMBL3265034,CHEMBL3265026,0.12,1.61,0.16,1.98,0.76
syk,CHEMBL3265034,CHEMBL3265027,1.16,1.31,0.09,1.07,0.76
syk,CHEMBL3265034,CHEMBL3265037,-1.28,0.19,0.29,-0.08,0.51
syk,CHEMBL3265034,CHEMBL3265033,-0.35,-0.25,0.28,-0.11,0.36
syk,CHEMBL3265014,CHEMBL3265028,-0.61,-0.42,0.12,-0.39,0.48
syk,CHEMBL3265014,CHEMBL3265022,-0.4,-0.23,0.15,-0.1,0.53
syk,CHEMBL3265014,CHEMBL3265025,0.19,-0.32,0.1,-0.38,0.53
syk,CHEMBL3265014,CHEMBL3265006,0.44,0.03,0.23,0.06,0.59
syk,CHEMBL3265009,CHEMBL3265008,0.52,0.54,0.09,0.19,0.78
syk,CHEMBL3265009,CHEMBL3265020,-0.71,0.65,0.12,0.8,0.78
syk,CHEMBL3265009,CHEMBL3265005,-0.03,0.27,0.08,0.36,0.6
syk,CHEMBL3265009,CHEMBL3265006,0.34,1.08,0.14,0.76,0.76
syk,CHEMBL3265009,CHEMBL3265003,-0.52,-3.26,0.17,-2.87,0.6
syk,CHEMBL3265017,CHEMBL3265026,0.12,1.17,0.11,1.5,0.78
syk,CHEMBL3265017,CHEMBL3265024,-0.3,1.14,0.13,1.03,0.77
syk,CHEMBL3265017,CHEMBL3265016,-0.2,0.96,0.04,0.93,0.75
syk,CHEMBL3265017,CHEMBL3265027,1.16,0.69,0.07,0.59,0.91
syk,CHEMBL3265017,CHEMBL3265020,0.48,0.91,0.15,0.57,1.0
syk,CHEMBL3265017,CHEMBL3265032,0.42,-0.22,0.12,-0.23,0.65
syk,CHEMBL3265017,CHEMBL3265002,0.87,-2.79,0.17,-2.23,1.0
syk,CHEMBL3265017,CHEMBL3265029,0.37,0.11,0.06,-0.01,0.76
syk,CHEMBL3265000,CHEMBL3264995,-0.57,-0.34,0.17,0.45,1.01
syk,CHEMBL3265000,CHEMBL3264997,0.83,1.92,0.23,1.61,0.81
syk,CHEMBL3265000,CHEMBL3264994,2.01,2.35,0.29,1.88,1.01
syk,CHEMBL3265023,CHEMBL3265028,-0.53,0.19,0.12,0.3,0.47
syk,CHEMBL3265023,CHEMBL3265022,-0.31,0.52,0.07,0.58,0.51
syk,CHEMBL3265023,CHEMBL3265020,-0.53,0.79,0.07,0.78,0.9
syk,CHEMBL3265004,CHEMBL3265001,-1.17,0.49,0.15,0.28,0.84
syk,CHEMBL3265004,CHEMBL3264999,-0.56,1.18,0.18,1.05,0.83
syk,CHEMBL3265004,CHEMBL3265002,0.25,0.22,0.2,0.25,0.71
syk,CHEMBL3265004,CHEMBL3265003,0.04,-0.61,0.13,-0.62,0.74
syk,CHEMBL3265029,CHEMBL3265016,-0.57,0.93,0.06,0.94,0.4
syk,CHEMBL3265029,CHEMBL3265027,0.79,0.69,0.05,0.59,0.76
syk,CHEMBL3265025,CHEMBL3265008,0.42,-0.2,0.11,-0.14,0.5
syk,CHEMBL3265025,CHEMBL3265020,-0.8,0.59,0.13,0.47,0.53
syk,CHEMBL3265012,CHEMBL3265010,0.41,0.32,0.22,0.7,1.03
syk,CHEMBL3265012,CHEMBL3259820,-0.03,0.32,0.07,0.43,0.87
syk,CHEMBL3265012,CHEMBL3265002,-0.07,-1.14,0.27,-1.85,1.03
syk,CHEMBL3265037,CHEMBL3265032,1.71,0.48,0.06,0.33,0.51
syk,CHEMBL3265016,CHEMBL3265005,1.36,-0.65,0.09,-0.8,0.6
syk,CHEMBL3265016,CHEMBL3265020,0.68,-0.45,0.1,-0.36,0.75
syk,CHEMBL3265032,CHEMBL3265022,0.27,0.68,0.14,0.61,0.51
syk,CHEMBL3265032,CHEMBL3265027,0.74,0.74,0.11,0.82,0.65
syk,CHEMBL3265032,CHEMBL3265033,-0.78,-0.2,0.13,-0.36,0.38
syk,CHEMBL3264997,CHEMBL3264995,-1.41,-0.87,0.13,-1.16,0.8
syk,CHEMBL3264997,CHEMBL3264994,1.17,0.29,0.17,0.27,0.81
syk,CHEMBL3265028,CHEMBL3265027,0.68,0.51,0.06,0.5,0.48
syk,CHEMBL3265028,CHEMBL3265030_n,-0.46,-0.99,0.08,-0.84,0.24
syk,CHEMBL3265018,CHEMBL3265011,2.55,4.75,0.19,4.66,0.2
syk,CHEMBL3265018,CHEMBL3265005,0.86,0.82,0.11,0.85,0.2
syk,CHEMBL3265018,CHEMBL3265019,0.41,-0.45,0.04,-0.38,0.07
syk,CHEMBL3265019,CHEMBL3265005,0.45,1.16,0.13,1.23,0.13
syk,CHEMBL3265027,CHEMBL3265033,-1.51,-1.26,0.09,-1.18,0.54
syk,CHEMBL3265027,CHEMBL3265020,-0.68,0.2,0.17,-0.01,0.91
syk,CHEMBL3265027,CHEMBL3265010,0.19,-0.27,0.13,-0.26,0.78
syk,CHEMBL3265027,CHEMBL3265030_n,-1.14,-1.08,0.08,-1.33,0.29
syk,CHEMBL3265024,CHEMBL3265008,2.01,-1.05,0.11,-1.06,0.65
syk,CHEMBL3264995,CHEMBL3264994,2.58,0.94,0.16,1.43,1.01
syk,CHEMBL3264995,CHEMBL3265001,0.35,-0.43,0.14,-0.32,0.18
syk,CHEMBL3265033,CHEMBL3265022,1.05,0.92,0.12,0.97,0.54
syk,CHEMBL3265020,CHEMBL3265026,-0.35,1.07,0.14,0.93,0.6
syk,CHEMBL3265008,CHEMBL3259820,-0.79,0.16,0.13,0.09,0.65
syk,CHEMBL3265008,CHEMBL3265005,-0.55,0.2,0.07,0.16,0.5
syk,CHEMBL3265008,CHEMBL3265006,-0.18,0.75,0.14,0.57,0.78
syk,CHEMBL3265002,CHEMBL3265001,-1.42,-0.19,0.18,0.02,0.84
syk,CHEMBL3265002,CHEMBL3264999,-0.8,0.51,0.21,0.8,0.83
syk,CHEMBL3265002,CHEMBL3264996,-0.05,1.33,0.13,0.7,1.03
syk,CHEMBL3265010,CHEMBL3265011,1.5,3.57,0.18,3.62,0.85
syk,CHEMBL3265010,CHEMBL3264996,-0.53,-2.2,0.16,-1.85,1.03
syk,CHEMBL3265006,CHEMBL3265011,1.32,3.32,0.18,3.41,0.6
syk,CHEMBL3265006,CHEMBL3265026,-1.41,1.53,0.18,0.97,0.78
syk,CHEMBL3265003,CHEMBL3264999,-0.6,1.28,0.19,1.67,0.74
syk,CHEMBL3264999,CHEMBL3264996,0.75,-0.47,0.23,-0.1,0.77
tnks2,3a,7,2.6,3.55,0.06,3.37,0.78
tnks2,3a,5m,-1.69,0.26,0.1,0.46,0.78
tnks2,3a,3b,-0.52,0.41,0.02,0.39,0.66
tnks2,5f,5a,-0.5,-0.04,0.01,0.1,0.6
tnks2,5f,5i,-1.82,-1.56,0.02,-1.59,0.38
tnks2,5f,5l,0.17,-0.42,0.02,-0.53,0.6
tnks2,8e,5k,-0.72,-3.02,0.14,-3.06,0.48
tnks2,8e,8a,-0.56,-0.53,0.09,-0.42,0.48
tnks2,8e,8b,-1.69,-2.02,0.1,-2.03,0.42
tnks2,8e,8c,0.12,0.18,0.16,0.12,0.41
tnks2,5l,5e,-0.02,1.14,0.04,1.32,0.48
tnks2,5l,5j,-0.99,0.48,0.02,0.53,0.58
tnks2,5l,5p,-0.41,1.97,0.33,1.63,0.6
tnks2,8b,8a,1.12,1.53,0.04,1.62,0.55
tnks2,8b,8f,0.12,0.3,0.07,0.16,0.55
tnks2,8b,8d,-0.56,0.06,0.09,0.1,0.51
tnks2,5g,5a,0.05,0.4,0.02,0.4,0.76
tnks2,5g,5b,0.33,-0.08,0.04,-0.34,0.85
tnks2,5g,5d,-0.08,0.78,0.04,1.06,0.85
tnks2,5g,5h,0.76,1.6,0.04,1.58,0.61
tnks2,1b,1a,1.39,1.65,0.04,1.61,0.35
tnks2,1b,5h,-0.11,-0.79,0.11,-0.74,0.5
tnks2,1b,5d,-0.95,-1.1,0.08,-1.26,0.57
tnks2,1b,5n,-0.78,-1.4,0.11,-1.28,0.57
tnks2,1b,5c,-0.02,-2.44,0.07,-2.42,0.5
tnks2,5e,5a,-0.65,-0.77,0.04,-0.69,0.53
tnks2,5e,5i,-1.97,-2.34,0.05,-2.39,0.64
tnks2,5e,5h,0.06,0.19,0.06,0.49,0.73
tnks2,5e,5k,-0.86,0.1,0.04,0.1,0.4
tnks2,5e,5p,-0.4,0.1,0.24,0.3,0.6
tnks2,5e,5n,-0.61,0.29,0.39,-0.06,0.73
tnks2,5i,5a,1.32,1.7,0.04,1.7,0.53
tnks2,5i,5o,0.04,0.74,0.51,0.5,0.64
tnks2,5i,5m,-0.61,0.68,0.02,0.84,0.53
tnks2,8d,1a,3.94,1.72,0.16,1.61,0.51
tnks2,8d,8f,0.68,0.06,0.11,0.06,0.46
tnks2,8d,8c,2.37,1.92,0.15,2.06,0.37
tnks2,5b,5o,-1.56,-0.18,0.27,-0.45,0.73
tnks2,5b,5n,-0.24,1.35,0.2,1.38,0.73
tnks2,5b,5c,0.51,0.16,0.04,0.24,0.5
tnks2,5b,5j,-0.61,0.76,0.02,0.65,0.85
tnks2,5h,5m,-2.64,-2.37,0.04,-2.04,0.73
tnks2,8c,5k,-0.84,-3.27,0.12,-3.19,0.41
tnks2,5a,5k,-0.2,0.78,0.03,0.79,0.66
tnks2,5a,5j,-0.33,0.04,0.02,-0.1,0.76
tnks2,5a,5d,-0.13,0.53,0.01,0.66,0.76
tnks2,5a,5n,0.04,0.3,0.3,0.63,0.6
tnks2,5a,5c,0.8,-0.4,0.03,-0.5,0.46
tnks2,5k,5d,0.08,-0.17,0.01,-0.13,0.66
tnks2,7,3b,-3.12,-3.0,0.08,-2.98,0.66
tnks2,7,5d,-2.49,-1.68,0.04,-1.4,0.88
